[INFO] 2025-11-30 19:28:10,990 Запрос пришёл: /swagger/
[INFO] 2025-11-30 19:28:11,015 Ответ готов: 200
[INFO] 2025-11-30 19:28:11,016 время обработки запроса = 0.02583932876586914
[INFO] 2025-11-30 19:28:45,580 Запрос пришёл: /api/cart/
[INFO] 2025-11-30 19:28:45,581 Ответ готов: 401
[INFO] 2025-11-30 19:28:45,581 время обработки запроса = 0.0013413429260253906
[INFO] 2025-11-30 19:29:13,131 Запрос пришёл: /api/token/
[INFO] 2025-11-30 19:29:13,815 Ответ готов: 200
[INFO] 2025-11-30 19:29:13,815 время обработки запроса = 0.6834514141082764
[INFO] 2025-11-30 19:29:41,366 Запрос пришёл: /api/cart/
[INFO] 2025-11-30 19:29:41,403 Ответ готов: 201
[INFO] 2025-11-30 19:29:41,404 время обработки запроса = 0.03795576095581055
[INFO] 2025-11-30 19:29:57,638 Запрос пришёл: /api/cart/
[INFO] 2025-11-30 19:29:57,657 Ответ готов: 200
[INFO] 2025-11-30 19:29:57,657 время обработки запроса = 0.01923346519470215
[INFO] 2025-11-30 19:30:23,530 Запрос пришёл: /api/cart/1/
[INFO] 2025-11-30 19:30:23,552 Ответ готов: 204
[INFO] 2025-11-30 19:30:23,552 время обработки запроса = 0.021682024002075195
[INFO] 2025-11-30 19:37:08,434 Запрос пришёл: /swagger/
[INFO] 2025-11-30 19:37:08,464 Ответ готов: 200
[INFO] 2025-11-30 19:37:08,464 время обработки запроса = 0.030270099639892578
[INFO] 2025-11-30 19:37:08,775 Запрос пришёл: /swagger/
[INFO] 2025-11-30 19:37:08,800 Ответ готов: 200
[INFO] 2025-11-30 19:37:08,800 время обработки запроса = 0.02584671974182129
[INFO] 2025-11-30 19:39:46,425 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-11-30 19:39:46,656 Ответ готов: 200
[INFO] 2025-11-30 19:39:46,657 время обработки запроса = 0.23169851303100586
[INFO] 2025-11-30 19:39:47,071 Запрос пришёл: /favicon.ico
[INFO] 2025-11-30 19:39:47,077 Ответ готов: 404
[INFO] 2025-11-30 19:39:47,077 время обработки запроса = 0.00568079948425293
[INFO] 2025-11-30 19:39:54,171 Запрос пришёл: /admin/token_blacklist/blacklistedtoken/
[INFO] 2025-11-30 19:39:54,212 Ответ готов: 200
[INFO] 2025-11-30 19:39:54,212 время обработки запроса = 0.0410304069519043
[INFO] 2025-11-30 19:39:54,276 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-11-30 19:39:54,330 Ответ готов: 200
[INFO] 2025-11-30 19:39:54,332 время обработки запроса = 0.05586099624633789
[INFO] 2025-11-30 19:39:54,502 Запрос пришёл: /favicon.ico
[INFO] 2025-11-30 19:39:54,511 Ответ готов: 404
[INFO] 2025-11-30 19:39:54,511 время обработки запроса = 0.009445905685424805
[INFO] 2025-11-30 20:18:06,622 >>> задача выполнена
[INFO] 2025-12-03 11:45:16,081 Запрос пришёл: /
[INFO] 2025-12-03 11:45:16,228 Ответ готов: 200
[INFO] 2025-12-03 11:45:16,229 время обработки запроса = 0.1468815803527832
[INFO] 2025-12-03 11:53:34,578 Запрос пришёл: /
[INFO] 2025-12-03 11:53:34,666 Ответ готов: 200
[INFO] 2025-12-03 11:53:34,666 время обработки запроса = 0.0881497859954834
[INFO] 2025-12-03 11:53:49,554 >>> задача выполнена
[INFO] 2025-12-03 11:54:49,557 >>> задача выполнена
[INFO] 2025-12-03 11:55:49,554 >>> задача выполнена
[INFO] 2025-12-03 11:56:49,553 >>> задача выполнена
[INFO] 2025-12-03 11:57:49,564 >>> задача выполнена
